# Which blob globals can stand on their own, measured.
#
# Produced by splitting one global at a time out of blob.inc and running the
# gate: `python3 tools/deblob.py subs1.hpp blob.inc --apply --only=NAME`.
# A global is "independent" if the ten test images still round-trip with their
# streams unmoved when it is somewhere else; "SHARED" means they do not, which
# says something writes across its boundary -- it is part of a larger table
# Hex-Rays split into one name per access site.
#
# 86 independent, 77 shared.  The independent ones are split out already;
# the shared ones are the map of what Phase 4 has to recover.
#
__byte_439890            independent
__byte_4398A0            independent
__byte_439BC0            independent
__byte_439BC8            independent
__byte_439BD0            independent
__byte_44339C            SHARED
__byte_44339D            SHARED
__byte_44339E            SHARED
__byte_44339F            independent
__byte_4433AC            independent
__byte_4433AD            SHARED
__byte_4433BD            independent
__byte_4433CF            independent
__byte_445440            SHARED
__byte_445700            independent
__byte_445714            SHARED
__byte_445715            SHARED
__byte_445716            SHARED
__byte_44571D            SHARED
__byte_44571E            independent
__byte_445722            SHARED
__byte_445724            SHARED
__byte_445726            SHARED
__byte_445728            SHARED
__byte_44572A            SHARED
__byte_44572C            SHARED
__byte_44572E            SHARED
__byte_445730            SHARED
__byte_445732            SHARED
__dwLowDateTime          independent
__dword_439880           independent
__dword_4398C0           SHARED
__dword_4398C4           SHARED
__dword_4398C8           SHARED
__dword_4398CC           SHARED
__dword_4398D0           SHARED
__dword_4398D4           SHARED
__dword_4398D8           SHARED
__dword_4398DC           SHARED
__dword_4398E0           SHARED
__dword_4398E4           SHARED
__dword_4398E8           SHARED
__dword_4398EC           SHARED
__dword_4398F0           independent
__dword_439B7C           independent
__dword_439BD8           independent
__dword_443388           independent
__dword_4433A0           SHARED
__dword_4433A4           SHARED
__dword_4433A8           SHARED
__dword_44573C           SHARED
__dword_4458E0           independent
__dword_4458E4           independent
__dword_4458E8           independent
__dword_4458EC           independent
__dword_4458F0           independent
__dword_4458F4           independent
__n15                    SHARED
__n15_0                  SHARED
__n16                    SHARED
__n191                   SHARED
__n191_0                 independent
__n191_1                 SHARED
__n256_2                 SHARED
__n2_0                   SHARED
__n2_1                   SHARED
__n32                    SHARED
__n3_0                   SHARED
__n3_1                   SHARED
__n4                     SHARED
__n4_0                   SHARED
__n4_3                   SHARED
__n4_4                   SHARED
__n512                   SHARED
__n8_0                   independent
__n8_1                   independent
__n8_2                   SHARED
__psub_402E30            independent
__xmmword_439620         independent
__xmmword_439630         independent
__xmmword_439640         independent
__xmmword_439650         independent
__xmmword_439660         independent
__xmmword_4396C0         independent
__xmmword_4396D0         independent
__xmmword_4396E0         independent
__xmmword_4396F0         independent
__xmmword_4397A0         independent
__xmmword_4397B0         independent
__xmmword_4397F0         independent
__xmmword_439800         independent
__xmmword_439A00         independent
__xmmword_439A10         independent
__xmmword_439A20         independent
__xmmword_439A30         independent
__xmmword_439A40         independent
__xmmword_439A50         independent
__xmmword_439A60         independent
__xmmword_439A70         independent
__xmmword_439A80         independent
__xmmword_439A90         independent
__xmmword_439AA0         independent
__xmmword_439AB0         independent
__xmmword_439AC0         independent
__xmmword_439AD0         independent
__xmmword_439AE0         independent
__xmmword_439AF0         independent
__xmmword_439B00         independent
__xmmword_439B10         independent
__xmmword_439B20         independent
__xmmword_439B30         independent
__xmmword_439B40         independent
__xmmword_439B50         independent
__xmmword_439B60         independent
__xmmword_441120         independent
__xmmword_441130         independent
__xmmword_441140         independent
__xmmword_441150         independent
__xmmword_441160         independent
__xmmword_441170         independent
__xmmword_441180         independent
__xmmword_441190         independent
__xmmword_4411A0         independent
__xmmword_4411B0         independent
__xmmword_4411C0         independent
__xmmword_4411D0         independent
__xmmword_4411E0         independent
__xmmword_4411F0         independent
__xmmword_445760         SHARED
__xmmword_445770         SHARED
__xmmword_445780         SHARED
__xmmword_445790         SHARED
__xmmword_4457A0         SHARED
__xmmword_4457B0         SHARED
__xmmword_4457C0         SHARED
__xmmword_4457D0         SHARED
__xmmword_4457E0         SHARED
__xmmword_4457F0         SHARED
__xmmword_445800         SHARED
__xmmword_445810         SHARED
__xmmword_445820         SHARED
__xmmword_445830         SHARED
__xmmword_445840         SHARED
__xmmword_445850         SHARED
__xmmword_445860         SHARED
__xmmword_445870         SHARED
__xmmword_445880         SHARED
__xmmword_445890         SHARED
__xmmword_4458A0         SHARED
__xmmword_4458B0         SHARED
__xmmword_4458C0         SHARED
__xmmword_4458D0         SHARED
coded_size               independent
ctx_group_flags          independent
desc_slow_mode           independent
exclusion_mask           SHARED
model_geometry           independent
near_lossless_max        independent
packer_acc               independent
packer_free_bits         independent
plane_alt_model          independent
plane_count              SHARED
plane_predictor          independent
