# name -> the address of the body in BMF.exe it was decompiled from.
# Recovered by tools/addrmap.py from the commits that made each
# rename; see ALGORITHM.md section 8.
# 6 names walked back through the log, 87 taken from the previous map (--rederive to walk them all)
compress_image             0x00402FE0
expand_image               0x00403820
search_filter              0x004043E0
model_planes               0x00405840
choose_plane_coding        0x00405CF0
cost_candidate             0x00407460
transform_planes           0x00407B30
colour_transform           0x00407EF0
interleave_plane           0x004081E0
unpredict_med              0x00410310
expand_predictor_mode0     0x00410650
predict_med                0x004108C0
estimate_cost              0x00411700
alt_init_tables            0x004118A0
rc_decode_flat             0x004123E0
encode_context_bit         0x00412490
decode_context_bit         0x00412850
code_symbol                0x00412B10
decode_symbol_list         0x00412E60
add_weight                 0x00413230
update_binary_pair         0x00413430
init_counter_node          0x00413560
alt_p1_encode_symbol       0x004135A0
encode_symbol_tree         0x00413900
alt_p1_decode_symbol       0x00413E60
decode_symbol_tree         0x00414060
encode_symbol              0x00414390
decode_symbol              0x00414620
rescale_three_way          0x00414800
rc_end_decode              0x00414920
rc_begin_decode            0x004149C0
rc_end_encode              0x00414CE0
rc_begin_encode            0x00414F60
free_workspace             0x00415270
model_plane                0x00415380
code_pixel                 0x004159E0
pixel_context              0x00416860
init_tables                0x00416C90
reduce_alphabet            0x00417200
layout_workspace           0x00417980
unmodel_plane              0x00417DB0
unmodel_plane_slow         0x00417E80
decode_pixel               0x00418650
expand_alphabet            0x00419430
alt_p2_free                0x00419610
alt_model_p2_d8_encode     0x004197A0
alt_p2_context             0x0041A130
alt_p2_model               0x0041CAB0
alt_model_p2_encode        0x00421930
alt_p2_alloc               0x004229E0
alt_model_p2_d8_decode     0x00422D60
alt_model_p2_decode        0x00423600
alt_p1_free                0x004244A0
alt_model_p1_d8_encode     0x00424500
d8_encode_body             0x00424550
ctx_of                     0x004248D0
alt_model_p1_encode        0x00424D90
alt_p1_alloc               0x004256F0
update_model               0x004259F0
alt_model_p1_d8_decode     0x004273F0
alt_model_p1_decode        0x00427740
read_bmp                   0x0042AB20
write_bmp                  0x0042B0C0
alloc_image                0x0042B830
#
# Bodies renamed since the tree was imported, which is past the
# end of the history this is recovered from.  The address is
# still the address; the name is the last one the chain proves.
#   bmf_destroy_archive      0x00402DF0
#   out_of_memory_handler    0x00402E30
#   bmf_open_archive         0x00402EF0
#   bmf_close_archive        0x00402FB0
#   init_symbol_list         0x00414860
#   rescale_counter_pair     0x004148F0
#   alt_p2_d8_encode_body    0x00419800
#   alt_p2_filter            0x0041C4B0
#   alt_p2_d8_decode_body    0x00422DB0
#   set_new_handler          0x0042CBB0

# 64 mapped.  71 named bodies have no recorded address:
#   abs32                     advance_row               alt_model_p1              alt_model_p2_d8
#   alt_p2_d8_body            begin_plane_stream        bit                       bits
#   bmf_arena_init            bmf_bucket_of             bmf_close_file            bmf_fatal
#   bmf_free                  bmf_malloc                bmf_new                   bmf_open_file
#   bmf_page_alloc            bmf_page_free             bump                      bytes
#   bytes_left                close                     code_banks                code_context_bit
#   code_symbol_tree          code_three_way            dec_get                   dec_init
#   dec_normalise             decode                    decode_bit                digit
#   emit                      enc_init                  enc_normalise             encode
#   encode_bit                end_plane_stream          escape_bias               fail
#   finish                    flush                     fold                      free_sym_lists
#   get_freq                  init                      init_parent               init_root
#   nlms_predict_and_correct  nlms_track_two_rows       operator uint32_t         p
#   pack_bits                 packer_reset              packer_rewind             packer_word
#   palette                   predict                   raw                       rc_begin
#   rc_end                    reduce_narrow_alphabet    restore                   scale_rare
#   seed_from                 set                       set_p                     summ
#   sym_flag                  unpack_bits               update_selector
