name,full_gralic,full_bmf_head,crop_49a0a08,crop_head,crop_head_plus_fixA,regression_pct,fixA_pct
PIA12811,231133,227928,228684,227928,227780,-0.3306,-0.0649
PIA12813,430499,426936,337592,338068,335072,0.141,-0.8862
PIA13757,9720237,9663416,1010368,1011344,1010996,0.0966,-0.0344
PIA13779,170823,78188,22444,22084,22084,-1.604,0.0
PIA13785,1771064,2004844,1433004,1433216,1432892,0.0148,-0.0226
PIA13799,150914,87756,87912,87756,87756,-0.1775,0.0
PIA13803,5062879,4916604,1519608,1519804,1509452,0.0129,-0.6811
PIA13810,6318451,6388892,1645688,1646768,1646496,0.0656,-0.0165
PIA13812,1307611,1657984,1435644,1436252,1436352,0.0424,0.007
PIA13815,1235852,1159816,510932,510232,510232,-0.137,0.0
PIA13833,985583,1068248,177124,176272,176272,-0.481,0.0
PIA13855,216438,206252,186984,181192,177116,-3.0976,-2.2495
PIA13856,211378,206784,182240,181960,177916,-0.1536,-2.2225
PIA13857,247755,239356,192500,192152,190104,-0.1808,-1.0658
PIA13859,164565,164100,153320,152368,151244,-0.6209,-0.7377
PIA13862,126104,124960,125288,124960,123904,-0.2618,-0.8451
PIA13872,262584,223944,224376,223944,200264,-0.1925,-10.5741
PIA13882,2444091,2730536,1408052,1407448,1407448,-0.0429,0.0
PIA13891,198033,190468,190764,190468,190088,-0.1552,-0.1995
PIA13894,5070594,4964004,665980,665940,661216,-0.006,-0.7094
PIA13912,24268444,27921832,878496,879252,874992,0.0861,-0.4845
PIA13913,404450,402008,401956,402008,401884,0.0129,-0.0308
PIA13914,1030159,1022076,836164,835748,834192,-0.0498,-0.1862
PIA13915,13574547,14421652,863788,859356,859356,-0.5131,0.0
PIA13943,346274,352988,170676,168200,165572,-1.4507,-1.5624
STA13452,11498613,11678320,718868,719384,699372,0.0718,-2.7818
STA13453,9262192,8758720,567312,567144,531664,-0.0296,-6.2559
STA13454,13797944,14338608,1221680,1222132,1218200,0.037,-0.3217
STA13455,6453857,6586348,476024,477028,440188,0.2109,-7.7228
STA13456,1070622,1104940,1104496,1104940,1105444,0.0402,0.0456
STA13457,7760178,7887244,734332,734056,721300,-0.0376,-1.7377
