name,gra,bmf,delta,rel_pct,w,h,pixels,ncomp,gra_bpp,bmf_bpp,delta_bpp,h0_bpp,med_bpp,bmf_over_med,gra_over_med,ct_bpp,ct_keep,ct_ks,ct_refs,eq_w,eq_n,run_mean,dup_rows,nrows,distinct_px,distinct_per_px,top8,corr_bg,corr_gr,corr_br,period_lag,period_corr,planes_free,choice,choice_est,body,est_err_pct,transposed,models,desc
PIA12811,231133,227928,-3205,-1.387,854,829,707966,3,2.6118,2.5756,-0.0362,17.4394,10.0884,0.2553,0.2589,3.6989,B,,,0.38297,0.40153,1.62,0,828,512,0.0007,37.84,0.99,0.999,0.985,2,0.36564,24,planar,228725.3,227908,-0.357,0,"p2,refs+slow,slow","plane 0: slot 1  p2 | plane 1: slot 2  refs+slow dc=0  w=(150,0) | plane 2: slot 0  slow"
PIA12813,430499,426936,-3563,-0.828,1293,1036,1339548,3,2.571,2.5497,-0.0213,20.939,9.1169,0.2797,0.282,3.039,B,,,0.21563,0.12953,1.27,0,1035,344,0.0003,14.137,0.956,1.0,0.956,2,0.13846,24,planar,427614.3,426916,-0.163,1,"p2,refs+slow","plane 0: slot 2  refs+slow dc=0  w=(128,0) | plane 1: slot 0  p2 | plane 2: slot 1  refs+slow dc=0"
PIA13757,9720237,9663416,-56821,-0.585,7753,2352,18235056,3,4.2644,4.2395,-0.0249,16.3883,9.2703,0.4573,0.46,6.244,B,,,0.43445,0.42787,1.77,41,2351,60539,0.0033,41.82,1.0,0.888,0.888,2,0.42537,24,planar,9685203.3,9663396,-0.225,1,"p2,refs+slow",plane 0: slot 0  p2 | plane 1: slot 1  refs+slow dc=0 | plane 2: slot 2  p2
PIA13779,170823,78188,-92635,-54.229,3000,1800,5400000,3,0.2531,0.1158,-0.1372,3.7587,1.3458,0.0861,0.1881,1.0003,G,,,0.96513,0.95795,28.68,390,1799,617,0.0001,97.655,0.97,0.874,0.772,2,0.95144,24,together,78166.3,78168,0.002,0,"refs+slow,slow","plane 0: slot 0  slow | plane 1: slot 1  refs+slow dc=179 | plane 2: slot 2  refs+slow dc=122  w=(0,128)"
PIA13785,1771064,2004844,233780,13.2,1289,1127,1452703,3,9.7532,11.0406,1.2874,20.8976,13.0325,0.8472,0.7484,12.5802,B,,,0.03757,0.04896,1.04,0,1126,89958,0.0619,1.096,0.759,0.83,0.947,2,0.02361,24,together,2012329.3,2004824,-0.373,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=160  w=(101,20) | plane 1: slot 0  p2 | plane 2: slot 1  p2"
PIA13799,150914,87756,-63158,-41.85,420,487,204540,3,5.9026,3.4323,-2.4702,15.773,10.2545,0.3347,0.5756,9.0151,G,,,0.2483,0.24464,1.33,0,486,255,0.0012,15.462,0.909,0.975,0.812,2,0.1796,24,together,87734.3,87736,0.002,0,"refs+slow,slow","plane 0: slot 2  refs+slow dc=205  w=(128,0) | plane 1: slot 0  slow | plane 2: slot 1  refs+slow dc=0"
PIA13803,5062879,4916604,-146275,-2.889,2254,1522,3430588,3,11.8064,11.4653,-0.3411,20.4596,20.2128,0.5672,0.5841,15.8992,G,,,0.01689,0.01707,1.02,0,1521,40244,0.0117,2.452,0.938,0.85,0.62,4,0.01712,24,together,4936506.3,4916584,-0.404,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=88 | plane 1: slot 2  refs+p2   dc=183  w=(64,80) | plane 2: slot 0  p2"
PIA13810,6318451,6388892,70441,1.115,2118,1917,4060206,3,12.4495,12.5883,0.1388,21.579,15.2722,0.8243,0.8152,14.3306,B,,,0.02129,0.02388,1.02,0,1916,75061,0.0185,1.125,0.836,0.803,0.968,2,0.01063,24,together,6564798.3,6388872,-2.68,0,"p2,refs+p2","plane 0: slot 0  p2 | plane 1: slot 1  refs+p2   dc=201 | plane 2: slot 2  refs+p2   dc=169  w=(63,29)"
PIA13812,1307611,1657984,350373,26.795,1188,1015,1205820,3,8.6753,10.9999,2.3245,18.4444,13.5506,0.8118,0.6402,13.2432,B,,,0.08796,0.09099,1.1,0,1014,148802,0.1234,9.101,0.969,0.635,0.66,2,0.08109,24,planar,1660013.3,1657964,-0.123,1,"p1,refs+p2,slow","plane 0: slot 1  slow | plane 1: slot 2  refs+p2   dc=200  w=(1,85) | plane 2: slot 0  p1"
PIA13815,1235852,1159816,-76036,-6.153,1549,1523,2359127,3,4.1909,3.933,-0.2578,16.8641,7.4136,0.5305,0.5653,7.2788,G,,,0.6428,0.48639,2.8,0,1522,75802,0.0321,11.826,0.987,0.655,0.717,2,0.37042,24,planar,1159794.3,1159796,0.0,0,slow,plane 0: slot 2  slow | plane 1: slot 0  slow | plane 2: slot 1  slow
PIA13833,985583,1068248,82665,8.387,3300,2550,8415000,3,0.937,1.0156,0.0786,14.4657,2.2449,0.4524,0.4174,2.2091,R,,,0.74625,0.74377,3.94,0,2549,37917,0.0045,39.783,0.971,0.998,0.958,2,0.62823,24,planar,1068226.3,1068228,0.0,0,p1,plane 0: slot 1  p1 | plane 1: slot 2  p1 | plane 2: slot 0  p1
PIA13855,216438,206252,-10186,-4.706,1556,1253,1949668,3,0.8881,0.8463,-0.0418,11.7821,4.5273,0.1869,0.1962,1.5385,G,,,0.69928,0.70963,3.33,493,1252,1264,0.0006,62.282,0.994,1.0,0.994,2,0.64314,24,planar,207774.3,206232,-0.742,1,"p2,refs+slow","plane 0: slot 0  p2 | plane 1: slot 1  refs+slow dc=0 | plane 2: slot 2  refs+slow dc=0  w=(-1,129)"
PIA13856,211378,206784,-4594,-2.173,1565,1252,1959380,3,0.863,0.8443,-0.0188,11.7548,4.5163,0.1869,0.1911,1.5466,G,,,0.70085,0.71111,3.34,492,1251,1841,0.0009,62.328,0.998,1.0,0.998,2,0.64358,24,planar,208502.3,206764,-0.834,1,"p2,refs+slow","plane 0: slot 0  p2 | plane 1: slot 2  refs+slow dc=255  w=(2,126) | plane 2: slot 1  refs+slow dc=0"
PIA13857,247755,239356,-8399,-3.39,1566,1232,1929312,3,1.0273,0.9925,-0.0348,15.855,4.7192,0.2103,0.2177,1.6271,R,,,0.69464,0.69507,3.27,193,1231,1293,0.0007,58.137,0.982,1.0,0.982,2,0.6378,24,planar,239334.3,239336,0.001,0,"p1,refs+slow","plane 0: slot 0  p1 | plane 1: slot 2  refs+slow dc=253  w=(0,128) | plane 2: slot 1  refs+slow dc=0"
PIA13859,164565,164100,-465,-0.283,1489,1117,1663213,3,0.7916,0.7893,-0.0022,10.7121,4.5079,0.1751,0.1756,1.5564,G,,,0.75931,0.76591,4.15,371,1116,1886,0.0011,72.3,0.987,1.0,0.987,2,0.73043,24,planar,164894.3,164080,-0.494,1,"p2,refs+slow","plane 0: slot 0  p2 | plane 1: slot 1  refs+slow dc=0 | plane 2: slot 2  refs+slow dc=255  w=(-2,130)"
PIA13862,126104,124960,-1144,-0.907,890,680,605200,3,1.6669,1.6518,-0.0151,18.0023,7.3635,0.2243,0.2264,2.676,G,,,0.55206,0.54191,2.23,27,679,3144,0.0052,40.192,0.978,1.0,0.978,2,0.47336,24,planar,126434.3,124940,-1.182,0,"p2,refs+slow","plane 0: slot 0  p2 | plane 1: slot 1  refs+slow dc=0 | plane 2: slot 2  refs+slow dc=254  w=(0,128)"
