name,gralic,bmf_head,bmf_fixA_fullsize,fixA_pct,head_vs_gralic_pct,fixA_vs_gralic_pct,crop_49a0a08,crop_head,crop_fixA,crop_regression_pct
PIA12811,231133,227928,227780,-0.0649,-1.3866,-1.4507,228684,227928,227780,-0.3306
PIA12813,430499,426936,422848,-0.9575,-0.8276,-1.7772,337592,338068,335072,0.141
PIA13757,9720237,9663416,9650192,-0.1368,-0.5846,-0.7206,1010368,1011344,1010996,0.0966
PIA13779,170823,78188,78188,0.0,-54.2286,-54.2286,22444,22084,22084,-1.604
PIA13785,1771064,2004844,2003904,-0.0469,13.2,13.1469,1433004,1433216,1432892,0.0148
PIA13799,150914,87756,87756,0.0,-41.8503,-41.8503,87912,87756,87756,-0.1775
PIA13803,5062879,4916604,4850668,-1.3411,-2.8892,-4.1915,1519608,1519804,1509452,0.0129
PIA13810,6318451,6388892,6388900,0.0001,1.1148,1.115,1645688,1646768,1646496,0.0656
PIA13812,1307611,1657984,1658096,0.0068,26.7949,26.8035,1435644,1436252,1436352,0.0424
PIA13815,1235852,1159816,1159816,0.0,-6.1525,-6.1525,510932,510232,510232,-0.137
PIA13833,985583,1068248,874828,-18.1063,8.3874,-11.2375,177124,176272,176272,-0.481
PIA13855,216438,206252,200408,-2.8334,-4.7062,-7.4063,186984,181192,177116,-3.0976
PIA13856,211378,206784,201064,-2.7662,-2.1734,-4.8794,182240,181960,177916,-0.1536
PIA13857,247755,239356,236688,-1.1147,-3.39,-4.4669,192500,192152,190104,-0.1808
PIA13859,164565,164100,162724,-0.8385,-0.2826,-1.1187,153320,152368,151244,-0.6209
PIA13862,126104,124960,123772,-0.9507,-0.9072,-1.8493,125288,124960,123904,-0.2618
PIA13872,262584,223944,190316,-15.0163,-14.7153,-27.5219,224376,223944,200264,-0.1925
PIA13882,2444091,2730536,2730536,0.0,11.7199,11.7199,1408052,1407448,1407448,-0.0429
PIA13891,198033,190468,190196,-0.1428,-3.8201,-3.9574,190764,190468,190088,-0.1552
PIA13894,5070594,4964004,4885064,-1.5902,-2.1021,-3.6589,665980,665940,661216,-0.006
PIA13912,24268444,27921832,27840960,-0.2896,15.0541,14.7208,878496,879252,874992,0.0861
PIA13913,404450,402008,401892,-0.0289,-0.6038,-0.6325,401956,402008,401884,0.0129
PIA13914,1030159,1022076,1020152,-0.1882,-0.7846,-0.9714,836164,835748,834192,-0.0498
PIA13915,13574547,14421652,14421652,0.0,6.2404,6.2404,863788,859356,859356,-0.5131
PIA13943,346274,352988,343144,-2.7888,1.9389,-0.9039,170676,168200,165572,-1.4507
STA13452,11498613,11678320,11406692,-2.3259,1.5629,-0.7994,718868,719384,699372,0.0718
STA13453,9262192,8758720,8122056,-7.2689,-5.4358,-12.3096,567312,567144,531664,-0.0296
STA13454,13797944,14338608,14179212,-1.1117,3.9184,2.7632,1221680,1222132,1218200,0.037
STA13455,6453857,6586348,5997280,-8.9438,2.0529,-7.0745,476024,477028,440188,0.2109
STA13456,1070622,1104940,1105444,0.0456,3.2054,3.2525,1104496,1104940,1105444,0.0402
STA13457,7760178,7887244,7722912,-2.0835,1.6374,-0.4802,734332,734056,721300,-0.0376
STA13458,1953643,1856004,1787432,-3.6946,-4.9978,-8.5077,499088,499808,483468,0.1443
STA13459,6559356,6465560,5874240,-9.1457,-1.43,-10.4449,501852,502388,466140,0.1068
STA13771,4893900,4974780,4839432,-2.7207,1.6527,-1.113,892892,893592,886060,0.0784
STA13781,498303,499648,489628,-2.0054,0.2699,-1.7409,499396,499648,490072,0.0505
STA13782,941647,964512,957012,-0.7776,2.4282,1.6317,836420,836492,830160,0.0086
STA13789,2047584,2027860,1850172,-8.7623,-0.9633,-9.6412,401412,401508,385492,0.0239
STA13843,49273540,49708880,49442312,-0.5363,0.8835,0.3425,1103128,1104524,1096764,0.1265
STA13844,43673586,43914032,43506548,-0.9279,0.5506,-0.3825,962636,964216,953084,0.1641
STA13845,40892954,44226712,43756032,-1.0642,8.1524,7.0014,981440,982704,970696,0.1288
STA13900,1897471,1960688,1959412,-0.0651,3.3316,3.2644,1389112,1389744,1388448,0.0455
STA13901,1749438,1779876,1776160,-0.2088,1.7399,1.5275,1292476,1293436,1290656,0.0743
STA13904,6345128,6248232,5803400,-7.1193,-1.5271,-8.5377,559844,560624,518852,0.1393
STA13908,4144669,4152932,3865992,-6.9093,0.1994,-6.7237,592452,593764,556792,0.2215
STA13942,737502,735248,682008,-7.2411,-0.3056,-7.5246,538436,539172,505720,0.1367
canon_eos_1100d_01,9252904,9541004,9382732,-1.6589,3.1136,1.4031,844556,845904,832892,0.1596
canon_eos_1100d_02,10321388,10240716,10103652,-1.3384,-0.7816,-2.1096,987340,988524,978336,0.1199
canon_eos_1100d_03,9206906,9352460,9191184,-1.7244,1.5809,-0.1708,772956,774596,760580,0.2122
canon_eos_1100d_04,10741639,10745048,10610996,-1.2476,0.0317,-1.2162,943256,944216,932088,0.1018
canon_eos_1100d_05,9725937,9809436,9659008,-1.5335,0.8585,-0.6881,863316,864508,852580,0.1381
canon_eos_1100d_06,9706841,9889768,9744144,-1.4725,1.8845,0.3843,868368,868864,856676,0.0571
canon_eos_1100d_11,11574562,11622740,11513552,-0.9394,0.4162,-0.5271,1101400,1102772,1096016,0.1246
canon_eos_1100d_12,9890818,10033356,9892548,-1.4034,1.4411,0.0175,808644,809620,796992,0.1207
canon_eos_1100d_13,11008683,11193572,11087984,-0.9433,1.6795,0.7203,1000192,1001352,993320,0.116
canon_eos_1100d_14,12002707,12112828,12011764,-0.8344,0.9175,0.0755,1136216,1137468,1131216,0.1102
canon_eos_1100d_15,9206635,9457860,9281624,-1.8634,2.7287,0.8145,812792,814104,799540,0.1614
fujifilm_finepix_x100_01,9180815,9523700,9302832,-2.3191,3.7348,1.329,838196,839664,824388,0.1751
fujifilm_finepix_x100_02,9192701,9435424,9219040,-2.2933,2.6404,0.2865,835412,836400,820844,0.1183
fujifilm_finepix_x100_03,7382712,7401244,7150488,-3.388,0.251,-3.1455,747368,748408,730116,0.1392
fujifilm_finepix_x100_04,8720634,9049856,8876096,-1.92,3.7752,1.7827,1001028,1001892,991860,0.0863
fujifilm_finepix_x100_05,10306877,10656868,10519624,-1.2878,3.3957,2.0641,943580,944492,933324,0.0967
fujifilm_finepix_x100_06,7929387,8111276,7874932,-2.9138,2.2939,-0.6867,725620,726744,707772,0.1549
fujifilm_finepix_x100_10,7459700,7698472,7463532,-3.0518,3.2008,0.0514,639540,640456,623320,0.1432
fujifilm_finepix_x100_11,8779074,9110432,8906900,-2.2341,3.7744,1.456,809196,810256,793916,0.131
fujifilm_finepix_x100_12,8975089,9321728,9105224,-2.3226,3.8622,1.45,756812,758436,741092,0.2146
fujifilm_finepix_x100_13,9840741,9970420,9802140,-1.6878,1.3178,-0.3923,876076,877080,862688,0.1146
fujifilm_finepix_x100_14,9020210,9066740,8876880,-2.094,0.5158,-1.589,788112,789448,773372,0.1695
fujifilm_finepix_x100_15,10753104,11033056,10928120,-0.9511,2.6035,1.6276,936992,937348,931612,0.038
olympus_xz1_01,7964165,8255060,8126208,-1.5609,3.6525,2.0347,888528,889160,877232,0.0711
olympus_xz1_02,7905388,8117408,7992300,-1.5412,2.682,1.0994,894332,895624,884400,0.1445
olympus_xz1_03,8856381,9078448,8964036,-1.2603,2.5074,1.2156,939332,939932,927792,0.0639
olympus_xz1_04,8534039,8826200,8703176,-1.3939,3.4235,1.9819,926232,927100,913924,0.0937
olympus_xz1_05,8475614,8793396,8674008,-1.3577,3.7494,2.3408,891400,892648,879944,0.14
olympus_xz1_06,8919611,9238260,9131620,-1.1543,3.5725,2.3769,1005764,1006772,996856,0.1002
olympus_xz1_07,9002082,9252308,9141388,-1.1988,2.7796,1.5475,961468,962040,950768,0.0595
olympus_xz1_08,8446461,8766372,8648032,-1.3499,3.7875,2.3865,920180,921212,909752,0.1122
olympus_xz1_09,9547946,9836896,9746872,-0.9152,3.0263,2.0834,1055552,1056968,1048488,0.1341
olympus_xz1_10,7860065,8150284,8017316,-1.6315,3.6923,2.0006,828456,829924,816300,0.1772
olympus_xz1_11,9549387,9823668,9726148,-0.9927,2.8722,1.851,1007944,1008948,999400,0.0996
olympus_xz1_12,9818188,10151500,10082076,-0.6839,3.3948,2.6877,1111724,1112452,1106244,0.0655
olympus_xz1_13,9399047,9721820,9635596,-0.8869,3.4341,2.5167,1070160,1071076,1063608,0.0856
olympus_xz1_14,11476957,11769340,11738612,-0.2611,2.5476,2.2798,1200116,1201520,1197772,0.117
olympus_xz1_15,11434021,11724124,11691664,-0.2769,2.5372,2.2533,1227304,1228628,1223168,0.1079
olympus_xz1_16,7364246,7621760,7490140,-1.7269,3.4968,1.7095,883396,883792,872548,0.0448
olympus_xz1_17,10805002,11090964,11040444,-0.4555,2.6466,2.179,1199352,1200268,1195704,0.0764
olympus_xz1_18,9018058,9315908,9227124,-0.953,3.3028,2.3183,1008152,1009080,1000880,0.092
olympus_xz1_19,9097338,9423116,9327704,-1.0125,3.581,2.5322,993304,994296,984996,0.0999
olympus_xz1_20,15706428,16046476,16047436,0.006,2.165,2.1711,1689688,1690288,1690368,0.0355
olympus_xz1_21,16238971,16698800,16701028,0.0133,2.8316,2.8454,1680440,1681852,1681944,0.084
olympus_xz1_22,15617410,16014328,16015272,0.0059,2.5415,2.5476,1588416,1589276,1588944,0.0541
olympus_xz1_23,8456200,8759896,8690840,-0.7883,3.5914,2.7748,1008460,1009728,1001652,0.1257
olympus_xz1_24,11267251,11627768,11589720,-0.3272,3.1997,2.862,1202108,1203308,1199300,0.0998
olympus_xz1_25,11170955,11523704,11481400,-0.3671,3.1577,2.779,1204964,1205960,1201852,0.0827
olympus_xz1_26,11439675,11768988,11729596,-0.3347,2.8787,2.5343,1241648,1242576,1239044,0.0747
olympus_xz1_27,12534003,12891788,12866164,-0.1988,2.8545,2.6501,1433176,1434036,1432456,0.06
sony_a55_01,11745358,12000228,11764740,-1.9624,2.17,0.165,837648,838812,823500,0.139
sony_a55_02,12054895,12282564,12056028,-1.8444,1.8886,0.0094,822256,823368,808784,0.1352
sony_a55_03,17989004,18409784,18353268,-0.307,2.3391,2.0249,1193668,1195076,1191452,0.118
sony_a55_04,16424843,16571892,16458968,-0.6814,0.8953,0.2078,1125816,1127180,1121060,0.1212
sony_a55_05,18476235,18826896,18776288,-0.2688,1.8979,1.624,1233332,1234780,1231780,0.1174
sony_a55_06,11077283,11245828,10990444,-2.2709,1.5215,-0.7839,862932,864204,850164,0.1474
sony_a55_07,11291367,11678856,11429704,-2.1334,3.4317,1.2252,751328,753008,736716,0.2236
sony_a55_08,11938059,12322392,12097200,-1.8275,3.2194,1.3331,898268,899472,887516,0.134
sony_a55_09,12948683,13312588,13130824,-1.3654,2.8104,1.4066,928784,929784,919568,0.1077
sony_a55_10,16288609,16535832,16444816,-0.5504,1.5178,0.959,1102716,1103868,1098392,0.1045
sony_a55_11,31196405,31396828,31415200,0.0585,0.6425,0.7013,2080028,2081104,2082348,0.0517
sony_a55_15,13067896,13220744,13009036,-1.6013,1.1696,-0.4504,860332,861540,848352,0.1404
